"gid","rid","pid","fnm","lnm","htm","atm","dt","d","dc","g","rx","ry","lcx","lcy","dst","shtp","shza","shzb"
"0021300076",322,101127,"Jarrett","Jack","PHI","CLE","2013-11-08","MISS Jack 41' 3PT Jump Shot",1.219,-30.895,43.833,35.288,-152,378,40,"JMP","LC","AB3"
"0021300076",44,2760,"Anderson","Varejao","PHI","CLE","2013-11-08","MISS Varejao 16' Jump Shot",1.338,-33.085,88.177,9.171,-160,-3,16,"JMP","L","MR"
"0021300077",122,1891,"Jason","Terry","WAS","BKN","2013-11-08","MISS Terry 24' 3PT Jump Shot",1.765,-30.926,89.865,46.549,237,30,23,"JMP","R","RC3"
"0021300077",303,203078,"Bradley","Beal","WAS","BKN","2013-11-08","MISS Beal 24' 3PT Jump Shot",1.284,-30.424,83.576,2.656,-234,30,23,"JMP","L","LC3"
"0021300078",79,201586,"Serge","Ibaka","DET","OKC","2013-11-08","MISS Ibaka 17' Jump Shot",1.021,-30.402,7.304,43.609,-169,-2,16,"JMP","L","MR"
"0021300079",476,1737,"Nazr","Mohammed","CHI","UTA","2013-11-08","MISS Mohammed 15' Jump Shot",1.171,-32.446,80.652,37.584,95,115,14,"JMP","R","MR"
"0021300079",87,202692,"Alec","Burks","CHI","UTA","2013-11-08","MISS Burks 21' Jump Shot",1.663,-30.758,79.268,4.977,-196,75,20,"JMP","L","MR"
"0021300080",24,201937,"Ricky","Rubio","MIN","DAL","2013-11-08","MISS Rubio 21' Jump Shot",1.432,-32.438,68.515,14.956,-84,197,21,"JMP","LC","MR"
"0021300080",314,201147,"Corey","Brewer","MIN","DAL","2013-11-08","MISS Brewer  3PT Jump Shot",1.219,-32.939,8.234,3.717,228,26,22,"JMP","R","RC3"
"0021300080",443,203539,"Gal","Mekel","MIN","DAL","2013-11-08","MISS Mekel 19' Jump Shot",1.364,-32.3,69.882,21.049,-40,186,19,"JMP","C","MR"
"0021300081",175,202498,"Lance","Thomas","NOP","LAL","2013-11-08","MISS Thomas 12' Jump Shot",1.223,-31.863,18.144,23.68,7,119,11,"JMP","C","PNT"
"0021300081",379,201950,"Jrue","Holiday","NOP","LAL","2013-11-08","MISS Holiday  3PT Jump Shot",1.626,-31.71,89.422,3.49,-226,7,22,"JMP","L","LC3"
"0021300084",187,201587,"Nicolas","Batum","POR","SAC","2013-11-08","MISS Batum  3PT Jump Shot",1.412,-31.389,7.626,47.425,-232,12,23,"JMP","L","LC3"
"0021300084",210,202349,"Greivis","Vasquez","POR","SAC","2013-11-08","MISS Vasquez 11' Running Jump Shot",1.246,-31.936,15.904,31.836,-62,96,11,"RJ","L","PNT"
"0021300084",350,202326,"DeMarcus","Cousins","POR","SAC","2013-11-08","MISS Cousins 25' 3PT Jump Shot",2.266,-33.515,14.342,40.668,-169,178,24,"JMP","LC","AB3"
